CORDEX Area,Name,deg,NP7 lon,NP7 lat,N lon,N lat,West7,East7,South7,North7
South America,SAM-44,0.44,-56.06,70.6,146,167,143.92,207.72,-38.28,34.76
Central America,CAM-44,0.44,113.98,75.74,210,113,-52.8,39.16,-28.6,20.68
North America,NAM-44,0.44,83,42.5,155,130,-33.88,33.88,-28.4,28.36
Europe,EUR-44,0.44,-162,39.25,106,103,-28.21,17.99,-23.21,21.67
Africa,AFR-44,0.44,N/A,90,194,201,-24.64,60.28,-45.76,42.24
South Asia,WAS-44,0.44,-123.34,79.95,193,130,-32.12,52.36,-21.56,35.2
East Asia,EAS-44,0.44,-64.78,77.61,203,167,-40.92,47.96,-26.84,46.2
Central Asia,CAS-44,0.44,-103.39,43.48,153,100,-34.32,32.56,-20.68,22.88
Australasia,AUS-44,0.44,141.38,60.31,200,129,142.16,229.72,-22.88,33.44
Antarctica,ANT-44,0.44,-166.92,6.08,125,97,152.72,207.28,-27.72,14.52
Arctic,ARC-44,0.44,0,6.55,116,133,-22.88,27.72,-24.2,33.88
Mediterranean,MED-44,0.44,198,39.25,98,63,-23.22,19.46,-21.34,5.94
Middle East and North Africa,MNA-44,0.44,N/A,90,232,118,-26.4,75.24,-6.6,44.88
Middle East and North Africa high res.,MNA-22,0.22,N/A,90,464,236,-26.51,75.35,-6.71,44.99
Europe high res.,EUR-11,0.11,-162,39.25,424,412,-28.375,18.155,-23.375,21.835
,,,,,,,,,,
Area,Name, deg,Nlon,Nlat,West8,East8,South8,North8,,
South America,SAM-44i,0.5,181,155,-106.25,-16.25,-58.25,18.75,,
Central America,CAM-44i,0.5,207,111,-124.75,-21.75,-19.75,35.25,,
North America,NAM-44i,0.5,100,129,-171.75,-22.25,12.25,76.25,,
Europe,EUR-44i,0.5,221,103,-44.75,65.25,21.75,72.75,,
Africa,AFR-44i,0.5,173,179,-25.25,60.75,-46.25,42.75,,
South Asia,WAS-44i,0.5,195,124,19.25,116.25,-15.75,45.75,,
East Asia,EAS-44i,0.5,227,157,62.75,175.75,-18.75,59.25,,
Central Asia,CAS-44i,0.5,260,133,10.75,140.25,17.75,69.75,,
Australasia,AUS-44i,0.5,238,133,88.75,207.25,-53.25,12.75,,
Antarctica,ANT-44i,0.5,720,70,-179.75,179.75,-89.75,-55.25,,
Arctic,ARC-44i,0.5,720,83,-179.75,179.75,48.75,89.75,,
Mediterranean,MED-44i,0.5,144,65,-20.75,51.75,25.25,57.25,,
Middle East and North Africa,MNA-44i,0.5,206,106,-26.75,75.75,-7.25,45.25,,
Middle East and North Africa - high res.,MNA-22i,0.25,410,209,-26.625,75.625,-6.875,45.125,,
Europe high - res.,EUR-11i,0.125,881,408,-44.8125,65.1875,21.8125,72.6875,,
