# list of GCMModelName values for CORDEX
# name   institute  "UI institute"  "UI model name"
ECMWF-ERAINT  ECMWF   na na
BCC-bcc-csm1-1  BCC  BCC   BCC-CSM1.1
BCC-bcc-csm1-1-m  BCC  BCC   BCC-CSM1.1(m)
BNU-BNU-ESM  BNU  BNU   BNU-ESM
CCCma-CanAM4  CCCma  CCCMA   CanAM4
CCCma-CanCM4  CCCma  CCCMA   CanCM4
CCCma-CanESM2  CCCma  CCCMA   CanESM2
CMCC-CMCC-CESM  CMCC  CMCC   CMCC-CESM
CMCC-CMCC-CM  CMCC  CMCC   CMCC-CM
CMCC-CMCC-CMS  CMCC  CMCC   CMCC-CMS
CNRM-CERFACS-CNRM-CM5  CNRM-CERFACS  CNRM-CERFACS   CNRM-CM5
COLA-CFS-CFSv2-2011  COLA-CFS  COLA-CFS   CFSv2-2011
CSIRO-BOM-ACCESS1-0  CSIRO-BOM  CSIRO-BOM   ACCESS1.0
CSIRO-BOM-ACCESS1-3  CSIRO-BOM  CSIRO-BOM   ACCESS1.3
CSIRO-QCCCE-CSIRO-Mk3-6-0  CSIRO-QCCCE  CSIRO-QCCCE   CSIRO-Mk3.6.0
FIO-FIO-ESM  FIO  FIO   FIO-ESM
ICHEC-EC-EARTH  ICHEC  ICHEC   EC-EARTH
INM-inmcm4  INM  INM   INM-CM4
IPSL-IPSL-CM5A-LR  IPSL  IPSL   IPSL-CM5A-LR
IPSL-IPSL-CM5A-MR  IPSL  IPSL   IPSL-CM5A-MR
IPSL-IPSL-CM5B-LR  IPSL  IPSL   IPSL-CM5B-LR
LASG-CESS-FGOALS-g2  LASG-CESS  LASG-CESS   FGOALS-g2
LASG-IAP-FGOALS-gl  LASG-IAP  LASG-IAP   FGOALS-gl
LASG-IAP-FGOALS-s2  LASG-IAP  LASG-IAP   FGOALS-s2
MIROC-MIROC-ESM  MIROC  MIROC   MIROC-ESM
MIROC-MIROC-ESM-CHEM  MIROC  MIROC   MIROC-ESM-CHEM
MIROC-MIROC4h  MIROC  MIROC   MIROC4h
MIROC-MIROC5  MIROC  MIROC   MIROC5
MOHC-HadCM3  MOHC  MOHC   HadCM3
MOHC-HadGEM2-A  MOHC  MOHC   HadGEM2-A
MOHC-HadGEM2-CC  MOHC  MOHC   HadGEM2-CC
MOHC-HadGEM2-ES  MOHC  MOHC   HadGEM2-ES
MPI-M-MPI-ESM-LR  MPI-M  MPI-M   MPI-ESM-LR
MPI-M-MPI-ESM-MR  MPI-M  MPI-M   MPI-ESM-MR
MPI-M-MPI-ESM-P  MPI-M  MPI-M   MPI-ESM-P
MRI-MRI-AGCM3-2H  MRI  MRI   MRI-AGCM3.2H
MRI-MRI-AGCM3-2S  MRI  MRI   MRI-AGCM3.2S
MRI-MRI-CGCM3  MRI  MRI   MRI-CGCM3
MRI-MRI-ESM1  MRI  MRI   MRI-ESM1
NASA-GISS-GISS-E2-R  NASA-GISS  NASA GISS   GISS-E2-R
NASA-GISS-GISS-E2-H  NASA-GISS  NASA-GISS   GISS-E2-H
NASA-GISS-GISS-E2-H-CC  NASA-GISS  NASA-GISS   GISS-E2-H-CC
NASA-GISS-GISS-E2-R  NASA-GISS  NASA-GISS   GISS-E2-R
NASA-GISS-GISS-E2-R-CC  NASA-GISS  NASA-GISS   GISS-E2-R-CC
NASA-GMAO-GEOS-5  NASA-GMAO  NASA-GMAO   GEOS-5
NCAR-CCSM4  NCAR  NCAR   CCSM4
NCC-NorESM1-M  NCC  NCC   NorESM1-M
NCC-NorESM1-ME  NCC  NCC   NorESM1-ME
NOAA-NCEP-CFSv2-2011  NOAA-NCEP  NCEP   CFSv2-2011
NICAM-NICAM-09  NICAM  NICAM   NICAM-09
NIMR-KMA-HadGEM2-AO  NIMR-KMA  NIMR-KMA   HadGEM2-AO
NOAA-GFDL-GFDL-CM2p1  NOAA-GFDL  NOAA-GFDL   GFDL-CM2.1
NOAA-GFDL-GFDL-CM3  NOAA-GFDL  NOAA-GFDL   GFDL-CM3
NOAA-GFDL-GFDL-ESM2G  NOAA-GFDL  NOAA-GFDL   GFDL-ESM2G
NOAA-GFDL-GFDL-ESM2M  NOAA-GFDL  NOAA-GFDL   GFDL-ESM2M
NOAA-GFDL-GFDL-HIRAM-C180  NOAA-GFDL  NOAA-GFDL   GFDL-HIRAM-C180
NOAA-GFDL-GFDL-HIRAM-C360  NOAA-GFDL  NOAA-GFDL   GFDL-HIRAM-C360
NSF-DOE-NCAR-CESM1-BGC  NSF-DOE-NCAR  NSF-DOE-NCAR   CESM1(BGC)
NSF-DOE-NCAR-CESM1-CAM5  NSF-DOE-NCAR  NSF-DOE-NCAR   CESM1(CAM5)
NSF-DOE-NCAR-CESM1-CAM5-1-FV2  NSF-DOE-NCAR  NSF-DOE-NCAR   CESM1(CAM5.1,FV2)
NSF-DOE-NCAR-CESM1-FASTCHEM  NSF-DOE-NCAR  NSF-DOE-NCAR   CESM1(FASTCHEM)
NSF-DOE-NCAR-CESM1-WACCM  NSF-DOE-NCAR  NSF-DOE-NCAR   CESM1(WACCM)
