# CORDEX RCM naming
# adapted from http://is-enes-data.github.io/CORDEX_RCMs_ToU.csv
name   institute  status
AUTH-LHTEE-WRF321B AUTH-LHTEE confirmed
AUTH-MC-WRF371M AUTH-MC confirmed
AWI-HIRHAM5 AWI confirmed
BCCR-WRF331 BCCR confirmed
BCCR-WRF331C BCCR confirmed
BCCR-WRF361 BCCR confirmed
BOUN-RegCM4-3 BOUN confirmed
CCCma-CanRCM4 CCCma confirmed
CHMI-ALADIN53 CHMI confirmed
CLMcom-CCLM4-8-17 CLMcom confirmed
CLMcom-CCLM4-8-17-CLM3-5 CLMcom confirmed
CLMcom-CCLM5-0-0 CLMcom confirmed
CLMcom-CCLM5-0-2 CLMcom confirmed
CLMcom-CCLM5-0-6 CLMcom confirmed
CLMcom-GUF-CCLM5-0-9 CLMcom-GUF confirmed
CMCC-REMHI CMCC confirmed
CNRM-ALADIN52 CNRM confirmed
CNRM-ALADIN53 CNRM confirmed
CNRM-ARPEGE52 CNRM confirmed
CNRM-RCSM4 CNRM confirmed
CRC-BGS-WRF381 CRC-BGS confirmed 
CRP-GL-WRF331A CRP-GL confirmed
CSIRO-CCAM CSIRO confirmed
CUNI-RegCM4-2 CUNI confirmed
DHMZ-RegCM4-2 DHMZ confirmed
DMI-HIRHAM5 DMI confirmed
ENEA-RegCM4-3 ENEA confirmed
GERICS-AWI-REMO2009 GERICS-AWI confirmed
GERICS-AWI-ROM1.1 GERICS-AWI confirmed
GERICS-REMO2009 GERICS confirmed
GERICS-REMO2015 GERICS confirmed
HMS-ALADIN52 HMS confirmed
ICTP-RegCM4-3 ICTP confirmed
ICTP-RegCM4-6 ICTP confirmed
ICTP-RegCM4-7 ICTP confirmed
IDL-WRF350D IDL confirmed
IITM-RegCM4-1 IITM confirmed
INPE-ETA INPE confirmed
IPSL-INERIS-WRF331F IPSL-INERIS confirmed
IPSL-INERIS-WRF361F IPSL-INERIS confirmed
IPSL-WRF311 IPSL confirmed
IPSL-WRF311NEMO IPSL confirmed
KNMI-RACMO21P KNMI confirmed
KNMI-RACMO22E KNMI confirmed
KNMI-RACMO22T KNMI confirmed
KNU-RegCM4-0 KNU confirmed
MGO-RRCM MGO confirmed
MIUB-WRF331A MIUB confirmed
MOHC-HadGEM3-RA MOHC confirmed
MOHC-HadREM3-GA7-05 MOHC confirmed
MOHC-HadRM3P MOHC confirmed
MPI-CSC-REMO2009 MPI-CSC confirmed
MU-WRF360M MU confirmed
NIMS-KMA-HadGEM3-RA NIMS-KMA confirmed
NUIM-WRF341E NUIM confirmed
OURANOS-CRCM5 OURANOS confirmed
PNU-WRF370 PNU confirmed
POSTECH-CCLM5-0-9 POSTECH confirmed
RMIB-UGent-ALARO-0 RMIB-UGent confirmed
SMHI-RCA4 SMHI confirmed
SMHI-RCA4-SN SMHI confirmed
SMHI-RCAO SMHI confirmed
SMHI-RCAO-SN SMHI confirmed
SNU-SNU-RCM2 SNU confirmed
UCAN-WRF331G UCAN confirmed
UCAN-WRF341I UCAN confirmed
UCLM-PROMES UCLM confirmed
UHOH-WRF361H UHOH confirmed 
ULg-MAR36 ULg confirmed
UM-RegCM4-3 UM confirmed
UM-WRF331 UM confirmed
UNIBELGRADE-EBU1 UNIBELGRADE confirmed
UNIBELGRADE-EBUPOM2c1 UNIBELGRADE confirmed
UNSW-WRF360J UNSW confirmed 
UNSW-WRF360K UNSW confirmed 
UNSW-WRF360L UNSW confirmed 
UQAM-CRCM5 UQAM confirmed
UQAM-CRCM5-SN UQAM confirmed
WEGC-WRF371O WEGC confirmed
