discipline,parameterCategory,parameterNumber,tag,comment,probabilityType,productDefinitionTemplateNumber,scaleFactorOfFirstFixedSurface,scaleFactorOfLowerLimit,scaleFactorOfSecondFixedSurface,scaledValueOfFirstFixedSurface,scaledValueOfLowerLimit,scaledValueOfSecondFixedSurface,typeOfFirstFixedSurface,typeOfSecondFixedSurface,typeOfStatisticalProcessing,
0,0,0,2t,2 metre temperature,,,,,,,,,103,,,
0,0,0,mn2t6,Minimum temperature at 2 metres since last 6 hours,,,,,,,,,103,,3,
0,0,0,mx2t6,Maximum temperature at 2 metres since last 6 hours,,,,,,,,,103,,2,
0,0,0,t,Temperature,,,,,,,,,,,,
0,0,1,vptmp,Virtual potential temperature,,,,,,,,,,,,
0,0,2,pt,Potential temperature,,,,,,,,,,,,
0,0,3,papt,Pseudo-adiabatic potential temperature,,,,,,,,,,,,
0,0,4,tmax,Maximum temperature,,,,,,,,,,,,
0,0,5,tmin,Minimum temperature,,,,,,,,,,,,
0,0,6,2d,2 metre dewpoint temperature,,,,,,,,,103,,,
0,0,6,dpt,Dew point temperature,,,,,,,,,,,,
0,0,8,lapr,Lapse rate,,,,,,,,,,,,
0,0,9,ta,Temperature anomaly,,,,,,,,,,,,
0,0,10,lhtfl,Latent heat net flux,,,,,,,,,,,,
0,0,10,slhf,Surface latent heat flux,,,,,,,,,1,,1,
0,0,11,shtfl,Sensible heat net flux,,,,,,,,,,,,
0,0,11,sshf,Surface sensible heat flux,,,,,,,,,1,,1,
0,0,12,heatx,Heat index,,,,,,,,,,,,
0,0,13,wcf,Wind chill factor,,,,,,,,,,,,
0,0,14,mindpd,Minimum dew point depression,,,,,,,,,,,,
0,0,16,snohf,Snow phase change heat flux,,,,,,,,,,,,
0,0,17,skt,Skin temperature,,,,,,,,,1,,,
0,1,0,q,Specific humidity,,,,,,,,,,,,
0,1,1,r,Relative humidity,,,,,,,,,,,,
0,1,3,pwat,Precipitable water,,,,,,,,,,,,
0,1,4,vapp,Vapor pressure,,,,,,,,,,,,
0,1,5,satd,Saturation deficit,,,,,,,,,,,,
0,1,7,prate,Precipitation rate,,,,,,,,,,,,
0,1,9,ncpcp,Large scale precipitation (non-convective),,,,,,,,,,,,
0,1,10,acpcp,Convective precipitation (water),,,,,,,,,,,,
0,1,12,srweq,Snowfall rate water equivalent,,,,,,,,,,,,
0,1,13,sdwe,Water equivalent of accumulated snow depth,,,,,,,,,,,,
